developer_id,name,primary_tech,join_date,pagerank_score,degree_centrality,betweenness_centrality
28,Dev_028,Java,2025-02-15,0.045744576829410785,0.1020408163265306,0.14524619371558145
21,Dev_021,Python,2025-05-03,0.036910452571925954,0.12244897959183673,0.11044501133786847
34,Dev_034,Python,2025-04-16,0.03599443254222263,0.12244897959183673,0.160845885973437
4,Dev_004,C++,2025-01-19,0.03488003325196614,0.1020408163265306,0.08330937533743656
48,Dev_048,Java,2025-08-20,0.0340768437688581,0.08163265306122448,0.09982993197278911
20,Dev_020,Rust,2025-11-05,0.032435605760764236,0.12244897959183673,0.12329257099665263
27,Dev_027,C++,2025-02-09,0.03230769333070809,0.1020408163265306,0.10288542004103225
24,Dev_024,Java,2025-06-12,0.02843323290957058,0.1020408163265306,0.1168424711154303
39,Dev_039,Rust,2025-05-17,0.02700863555613404,0.08163265306122448,0.036345292085088
7,Dev_007,Rust,2025-04-26,0.02642712213306011,0.1020408163265306,0.049579216607277835
