developer_id,name,primary_tech,pagerank_score,degree_centrality,betweenness_centrality,activity_level
30,fangchenli,Go,0.06613012417905602,0.2857142857142857,0.3158456835114999,0.7797
13,sinhrks,Java,0.05276062629544417,0.1020408163265306,0.11218820861678004,0.8503
49,takluyver,C++,0.04965746858713131,0.2040816326530612,0.21480907839326205,0.7969
48,qwhelan,C++,0.046458113358209804,0.24489795918367346,0.18670938613540655,0.5457
25,attack68,Go,0.03968824664492179,0.061224489795918366,0.10581065759637188,0.6425
24,ShaharNaveh,Rust,0.038996918046451105,0.08163265306122448,0.07610544217687075,0.3074
5,mroeschke,Go,0.03715563615950257,0.12244897959183673,0.05336592970521541,0.5736
50,behzadnouri,JavaScript,0.03237558709965074,0.12244897959183673,0.0667517006802721,0.4702
22,lukemanley,Go,0.028435440595613183,0.061224489795918366,0.0,0.7282
19,jtratner,Go,0.026944947175889737,0.1020408163265306,0.03451672335600906,0.4933
